,est,y_sample,date
3762,149.8477938927584,154.6357,2019-01-25
3763,154.2437704350899,153.2046,2019-01-28
3764,153.2199837651345,151.6167,2019-01-29
3765,151.96693759517925,161.9773,2019-01-30
3766,161.10880558311797,163.1438,2019-01-31
3767,162.87568053730385,163.2222,2019-02-01
3768,163.19238597269478,167.8585,2019-02-04
3769,167.49243298211366,170.7305,2019-02-05
3770,170.34128827023508,170.7893,2019-02-06
3771,170.7487787648026,167.5546,2019-02-07
3772,168.2109041980708,167.7507,2019-02-08
3773,168.0028554057237,166.78599999999997,2019-02-11
3774,166.9582139627334,168.2232,2019-02-12
3775,168.15414859290925,167.5243,2019-02-13
3776,167.55951412902405,168.1346,2019-02-14
3777,168.13350927530064,167.7605,2019-02-15
3778,167.78786547265526,168.2626,2019-02-19
3779,168.23693657966234,169.3454,2019-02-20
3780,169.229756188635,168.3905,2019-02-21
3781,168.52923086858905,170.2707,2019-02-22
3782,170.155123453118,171.5111,2019-02-25
3783,171.33100000240134,171.6095,2019-02-26
3784,171.58850060593406,172.1411,2019-02-27
3785,172.08851461631846,170.4479,2019-02-28
3786,170.72702366510055,172.2395,2019-03-01
3787,172.19931980424948,173.1058,2019-03-04
3788,173.0340528839542,172.7908,2019-03-05
3789,172.78442222839672,171.7965,2019-03-06
3790,172.02784555283563,169.8081,2019-03-07
3791,170.2994661815283,170.2117,2019-03-08
3792,170.35947616203936,176.1082,2019-03-11
3793,175.63624506401882,178.0868,2019-03-12
3794,177.84531058919578,178.8743,2019-03-13
3795,178.81314064306707,180.8628,2019-03-14
3796,180.66529189705508,183.2155,2019-03-15
3797,182.89558677560836,185.0859,2019-03-18
3798,184.84721532189585,183.6191,2019-03-19
3799,183.79121428485587,185.2237,2019-03-20
3800,185.16355838265036,192.0455,2019-03-21
3801,191.3120068465465,188.0686,2019-03-22
3802,188.301022110535,185.7946,2019-03-25
3803,186.46068695765607,183.8751,2019-03-26
3804,184.33384331166917,185.5288,2019-03-27
3805,185.53848007621318,185.7749,2019-03-28
3806,185.7237409381371,186.9857,2019-03-29
